COUNTS - 2017 - annual entries & exits,,,,,,,,,,,,,,,,
"(C) Copyright, London Underground Limited, 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,[ Weights,253,52,59,253,52,59,],,,,,,
Counts by station,,,,,,,,,,Annual,,,,,,
 ,,,,Entry,Entry,Entry,Exit,Exit,Exit,Entry + Exit,,,,,,
nlc,Station,Borough,Note,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million,,,,,,
583,Gloucester Road,Kensington and Chelsea, ,21724,16396,13126,20559,15425,12030,13.84,,,,,,
584,Golders Green,Barnet, ,13364,9191,7249,12928,8432,7027,8.41,,,,,,
585,Goldhawk Road,Hammersmith and Fulham, ,3519,2330,1476,3313,2122,1576,2.14,,,,,,
586,Goodge Street,Camden, ,12987,6054,3560,12624,6194,3352,7.52,,,,,,
587,Grange Hill,Redbridge, ,1213,572,278,1085,488,281,0.67,,,,,,
588,Great Portland Street,City of Westminster, ,14519,5020,3281,13985,4835,2775,8.08,,,,,,
590,Green Park,City of Westminster, ,58814,35126,25470,67897,42800,29244,39.34,,,,,,
589,Greenford,Ealing, ,7635,4982,3143,7453,4611,3040,4.68,,,,,,
591,Gunnersbury,Hounslow, ,10367,4110,2691,9408,3557,2454,5.71,,,,,,
592,Hainault,Redbridge, ,6373,3865,2438,6002,3553,2430,3.80,,,,,,
593,Hammersmith (Dis),Hammersmith and Fulham,,47068,31449,22271,45894,30229,21442,29.31,,,,,,
773,Hammersmith (H&C),Hammersmith and Fulham, ,18267,10832,7344,16945,10088,7076,10.85,,,,,,
594,Hampstead,Camden, ,7192,5531,4827,7223,5740,5349,4.83,,,,,,
595,Hanger Lane,Ealing, ,6547,3994,2691,6086,3537,2478,3.89,,,,,,
596,Harlesden,Brent, ,5321,3066,2039,5172,2903,1995,3.20,,,,,,
597,Harrow & Wealdstone,Harrow, ,8496,4650,3093,7332,4465,2929,4.83,,,,,,
598,Harrow-on-the-Hill,Harrow, ,16908,11329,7711,18067,11531,7995,10.96,,,,,,
779,Hatton Cross,Hillingdon, ,5026,3758,3016,4737,3613,2987,3.21,,,,,,
781,Heathrow Terminal 4,Hillingdon, ,3253,3419,3494,2885,3391,2989,2.29,,,,,,
783,Heathrow Terminal 5,Hillingdon, ,6659,6383,7743,5700,5191,5919,4.53,,,,,,
780,Heathrow Terminals 123,Hillingdon, ,11347,12041,12845,9606,9810,10471,7.81,,,,,,
601,Hendon Central,Barnet, ,13207,7560,5685,12181,6560,5278,7.80,,,,,,
602,High Barnet,Barnet, ,7311,4031,2518,6820,3525,2497,4.26,,,,,,
605,High Street Kensington,Kensington and Chelsea, ,20170,14260,10213,19963,13917,9172,12.76,,,,,,
603,Highbury & Islington,Islington, ,31198,24555,15276,30890,23441,16720,20.09,,,,,,
604,Highgate,Haringey, ,9839,6257,4118,8948,5772,4272,5.87,,,,,,
606,Hillingdon,Hillingdon, ,3193,2169,1112,2686,1687,1007,1.81,,,,,,
607,Holborn,Camden, ,51101,28823,17598,56804,31315,18187,32.54,,,,,,
608,Holland Park,Kensington and Chelsea, ,6091,3888,2601,5447,3879,2663,3.63,,,,,,
609,Holloway Road,Islington, ,10836,7498,5453,10473,6944,5466,6.79,,,,,,
610,Hornchurch,Havering, ,3723,2269,1042,3705,2299,1061,2.24,,,,,,
611,Hounslow Central,Hounslow, ,6080,4252,3022,6423,4073,2929,3.95,,,,,,
612,Hounslow East,Hounslow, ,5988,4804,3609,6305,4905,3678,4.04,,,,,,
613,Hounslow West,Hounslow, ,5414,4253,3387,5191,4160,3406,3.52,,,,,,
614,Hyde Park Corner,City of Westminster, ,7515,7654,6368,8292,7400,6454,5.54,,,,,,
615,Ickenham,Hillingdon, ,1912,1170,621,1958,1146,654,1.17,,,,,,
616,Kennington,Southwark, ,8942,6777,4709,8177,6390,4843,5.58,,,,,,
617,Kensal Green,Brent, ,4578,3147,2139,3891,2664,2092,2.69,,,,,,
618,Kensington (Olympia),Kensington and Chelsea,A,1640,6965,4157,1616,6391,4232,2.01,,,,,,
619,Kentish Town,Camden, ,13857,8998,6164,12940,8053,5434,8.35,,,,,,
620,Kenton,Brent, ,3327,2130,1415,3331,2096,1391,2.07,,,,,,
621,Kew Gardens,Richmond, ,6662,5484,4385,6497,5058,4007,4.37,,,,,,
622,Kilburn,Brent, ,13475,10578,7920,12733,9837,7841,8.62,,,,,,
623,Kilburn Park,Brent, ,5153,4424,3149,4948,4116,3070,3.37,,,,,,
625,King's Cross St. Pancras,Camden, ,149150,117237,98579,146864,112360,89348,97.92,,,,,,
624,Kingsbury,Brent,,8439,5685,4019,8092,5386,3853,5.22,,,,,,
626,Knightsbridge,Kensington and Chelsea, ,25026,28003,19735,23810,25435,15400,17.21,,,,,,
627,Ladbroke Grove,Kensington and Chelsea, ,9327,9009,4625,8878,7205,3950,5.95,,,,,,
628,Lambeth North,Lambeth, ,5443,5072,3865,4887,4542,3243,3.53,,,,,,
629,Lancaster Gate,City of Westminster, ,9568,7851,6492,9120,7473,5692,6.24,,,,,,
630,Latimer Road,Kensington and Chelsea, ,4190,2164,1532,4003,1922,1457,2.46,,,,,,
631,Leicester Square,City of Westminster, ,49948,71173,41846,47341,69316,39694,36.73,,,,,,
632,Leyton,Waltham Forest, ,20416,17743,12375,20276,15780,11901,13.47,,,,,,
633,Leytonstone,Waltham Forest, ,17433,12923,8810,16820,12061,8660,11.00,,,,,,
634,Liverpool Street,City of London, ,112437,56259,42894,111688,60262,41470,67.74,,,,,,
635,London Bridge,Southwark, ,113606,78569,45408,107048,75800,42694,69.05,,,,,,
636,Loughton,Epping Forest, ,5830,3837,2098,5817,3635,2116,3.58,,,,,,
