Station_ID,Station_Name,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
218,Northfields,6422,4279,3038,6197,3990,3159,474.89
219,South Harrow,3444,2331,1570,3619,2350,1612,262.69
220,Kensal Green,4578,3147,2139,3891,2664,2092,324.32
221,Harlesden,5321,3066,2039,5172,2903,1995,367.48
222,Wembley Central,8953,7503,5106,9173,7264,4613,735.76
223,North Wembley,2917,1966,1404,2693,1751,1332,211.8
225,Richmond,11845,13954,7259,12226,12874,7072,1103.47
226,Kew Gardens,6662,5484,4385,6497,5058,4007,548.45
227,Gunnersbury,10367,4110,2691,9408,3557,2454,609.26
228,Piccadilly Circus,59266,66956,40514,56959,65289,36412,5465.82
229,Charing Cross,30496,26272,16589,29715,22288,12347,2402.49
230,Elephant & Castle,37290,23949,17597,32954,21378,15851,2625.42
231,Lambeth North,5443,5072,3865,4887,4542,3243,457.89
232,Warwick Avenue,6917,4925,3490,6357,4537,3598,518.36
233,Edgware Road (Bak),7366,4885,3158,7464,4843,3042,544.58
234,Maida Vale,5434,3803,2676,4864,3331,2587,396.58
235,Kilburn Park,5153,4424,3149,4948,4116,3070,424.8
236,Marylebone,20984,14952,11935,21656,15163,10853,1659.36
237,Regent's Park,5675,3012,2035,6202,3595,2428,410.69
238,Sloane Square,27847,18087,12250,27104,18207,12148,2039.24
239,St. James's Park,25788,7589,6085,24744,7514,6119,1474.73
240,Ravenscourt Park,5336,3061,2127,5132,2900,2176,370.08
241,Hammersmith (Dis),47068,31449,22271,45894,30229,21442,3486.31
242,West Kensington,8424,5987,4309,8020,5069,4121,628.45
243,Barons Court,12188,7011,5009,10959,6051,4894,822.71
244,Fulham Broadway,15310,12139,6951,15025,10125,6572,1162.5
245,West Brompton,10006,4731,3077,10024,4141,2825,641.68
246,Stamford Brook,4454,2924,1972,4172,2489,1886,316.88
247,Turnham Green,9699,6579,4508,9809,6553,4591,732.79
248,Stepney Green,10703,6769,4857,9583,5732,4613,747.01
249,Aldgate East,22327,16166,13323,21071,13893,11347,1703.09
250,Whitechapel,22590,12479,8781,22633,12820,8960,1579.77
251,Bow Road,9077,6612,4787,8487,5852,4801,687.94
252,Wembley Park,24980,22413,14412,25094,21274,13438,2088.86
253,Neasden,6327,4364,3153,5707,4027,2998,464.04
254,Dollis Hill,7035,5118,3974,6107,4252,3576,521.08
255,Kingsbury,8439,5685,4019,8092,5386,3853,622.92
256,Queensbury,7534,4941,3248,7372,4646,3116,546.6
257,South Kenton,1858,1184,696,2099,1086,768,137.93
258,Harrow & Wealdstone,8496,4650,3093,7332,4465,2929,555.83
259,Kenton,3327,2130,1415,3331,2096,1391,242.66
260,Stonebridge Park,4262,2637,1757,3955,2314,1624,295.11
261,Willesden Junction,7566,5164,2908,7514,4743,3028,549.73
262,East Finchley,12133,7616,4980,11528,6609,4958,851.35
263,Highgate,9839,6257,4118,8948,5772,4272,692.9
264,Woodside Park,5311,2997,2246,6089,3760,2967,411.16
265,West Finchley,2897,1590,991,2694,1367,992,190.6
266,Totteridge & Whetstone,4396,2544,1597,3928,2179,1561,291.31
267,High Barnet,7311,4031,2518,6820,3525,2497,482.96
268,Heathrow Terminal 4,3253,3419,3494,2885,3391,2989,316.27
269,West Acton,2754,2089,1386,2576,1903,1350,209.76
270,Stratford,93742,93482,61629,86285,87548,57524,8112.43
271,Uxbridge,13974,8494,5256,13371,7825,5194,968.73
272,Hillingdon,3193,2169,1112,2686,1687,1007,212.63
273,Ickenham,1912,1170,621,1958,1146,654,134.48
274,Ruislip,3187,2193,1269,3186,2159,1237,234.68
275,Ruislip Manor,3509,2072,1051,3231,1892,1104,232.74
276,Eastcote,5129,2931,1654,4848,2636,1638,341.29
277,Northwood Hills,3435,1901,1167,3250,1694,1117,227.66
278,West Harrow,2270,1686,941,2611,1742,998,181.02
279,Rayners Lane,6991,4352,2955,6986,4145,2910,503.62
280,North Harrow,3285,1730,1051,3165,1540,990,214.63
281,Pinner,5896,2947,1867,5615,2797,1766,381.37
282,Harrow-on-the-Hill,16908,11329,7711,18067,11531,7995,1294.99
283,Northwick Park,7679,3607,2678,7553,3270,2612,499.66
284,Amersham,3848,1876,1232,4025,1797,1121,255.15
285,Stanmore,6152,4451,3028,6137,4163,3073,471.67
286,Canons Park,4900,3505,2373,4777,3259,2271,369.38
287,St. John's Wood,12340,7879,6027,12397,7987,6030,923.79
288,Southwark,28187,12164,8458,28800,12921,8234,1818.45
289,London Bridge,113606,78569,45408,107048,75800,42694,8204.75
290,Canada Water,21804,21533,14625,22150,21539,14887,1964.66
291,Bermondsey,16503,12706,8848,16121,12536,9373,1311.95
292,Canary Wharf,86663,36234,25994,86803,37893,27770,5537.58
293,North Greenwich,40613,35817,28314,42343,36024,29738,3593.14
294,Canning Town,20492,16422,12206,19892,15457,11613,1651.28
295,Kilburn,13475,10578,7920,12733,9837,7841,1071.31
296,Willesden Green,13820,10754,8161,13073,9494,7811,1087.13
297,West Hampstead,20776,13386,9249,16880,10461,8232,1397.91
298,Swiss Cottage,12645,8442,5867,11957,8026,5636,924.37
299,Finchley Road,15534,11037,7909,14715,9443,7514,1157.14
300,Colliers Wood,10755,8146,5827,9870,7264,5657,822.53
301,Archway,15336,10701,7424,13956,9023,6816,1111.07
302,Tooting Broadway,25494,19445,13028,24753,18145,13072,1979.11
303,Tooting Bec,13230,9607,6351,12044,8184,6401,975.42
304,Balham,22562,17441,10809,22199,15581,10678,1735.09
305,Clapham South,13665,10189,6726,13359,9193,6880,1046.7
306,Clapham Common,15071,13320,9002,16450,13870,9582,1319.8
307,Clapham North,9804,9237,5746,10834,9097,5874,866.09
308,Goodge Street,12987,6054,3560,12624,6194,3352,825.35
309,Tottenham Court Road,63871,54505,33720,62144,52619,32075,5160.85
310,Belsize Park,10868,6114,4791,9207,5596,4541,728.59
